id,log,seen,semantic_template,template,valid,predict
1449,Warning: we failed to resolve data source name dn398 dn399 dn400 dn401 dn402 dn403 dn404 dn405 dn406 dn407 dn408 dn409 dn410 dn411 dn412 dn413 dn414 dn415 dn416 dn417 dn418 dn419 dn420 dn421 dn422 dn423 dn424 dn425 dn426 dn427 dn428 dn429 dn430 dn431 dn432 dn433 dn434 dn435 dn436 dn437 dn438 dn439 dn440 dn441 dn442 dn443 dn444 dn445 dn446 dn447 dn448 dn449 dn450 dn451 dn452 dn453 dn454 dn455 dn456 dn457 dn458 dn459 dn460 dn461 dn462 dn463 dn464 dn465 dn466 dn467 dn468 dn469 dn470 dn471 dn472 dn473 dn474 dn475 dn476 dn477 dn478 dn479 dn480 dn481 dn482 dn483 dn484 dn485 dn486 dn487 dn488 dn489 dn490 dn491 dn492 dn493 dn494 dn495 dn496 dn497 dn498 dn499 dn500 dn501 dn502 dn503 dn504 dn505 dn506 dn507 dn508 dn509 dn510 dn511 dn512,False,Warning: we failed to resolve data source name {data_source_names},Warning: we failed to resolve data source name <*>,True,Warning: we failed to resolve data source name <*>
1450,Warning: we failed to resolve data source name dn526 dn527 dn528 dn529 dn530 dn531 dn532 dn533 dn534 dn535 dn536 dn537 dn538 dn539 dn540 dn541 dn542 dn543 dn544 dn545 dn546 dn547 dn548 dn549 dn550 dn551 dn552 dn553 dn554 dn555 dn556 dn557 dn558 dn559 dn560 dn561 dn562 dn563 dn564 dn565 dn566 dn567 dn568 dn569 dn570 dn571 dn572 dn573 dn574 dn575 dn576 dn577 dn578 dn579 dn580 dn581 dn582 dn583 dn584 dn585 dn586 dn587 dn588 dn589 dn590 dn591 dn592 dn593 dn594 dn595 dn596 dn597 dn598 dn599 dn600 dn601 dn602 dn603 dn604 dn605 dn606 dn607 dn608 dn609 dn610 dn611 dn612 dn613 dn614 dn615 dn616 dn617 dn618 dn619 dn620 dn621 dn622 dn623 dn624 dn625 dn626 dn627 dn628 dn629 dn630 dn631 dn632 dn633 dn634 dn635 dn636 dn637 dn638 dn639 dn640,False,Warning: we failed to resolve data source name {data_source_names},Warning: we failed to resolve data source name <*>,True,Warning: we failed to resolve data source name <*>
1451,Warning: we failed to resolve data source name dn654 dn655 dn656 dn657 dn658 dn659 dn660 dn661 dn662 dn663 dn664 dn665 dn666 dn667 dn668 dn669 dn670 dn671 dn672 dn673 dn674 dn675 dn676 dn677 dn678 dn679 dn680 dn681 dn682 dn683 dn684 dn685 dn686 dn687 dn688 dn689 dn690 dn691 dn692 dn693 dn694 dn695 dn696 dn697 dn698 dn699 dn700 dn701 dn702 dn703 dn704 dn705 dn706 dn707 dn708 dn709 dn710 dn711 dn712 dn713 dn714 dn715 dn716 dn717 dn718 dn719 dn720 dn721 dn722 dn723 dn724 dn725 dn726 dn727 dn728 dn729 dn730 dn731 dn732 dn733 dn734 dn735 dn736 dn737 dn738 dn739 dn740 dn741 dn742 dn743 dn744 dn745 dn746 dn747 dn748 dn749 dn750 dn751 dn752 dn753 dn754 dn755 dn756 dn757 dn758 dn759 dn760 dn761 dn762 dn763 dn764 dn765 dn766 dn767 dn768,False,Warning: we failed to resolve data source name {data_source_names},Warning: we failed to resolve data source name <*>,True,Warning: we failed to resolve data source name <*>
1452,Warning: we failed to resolve data source name dn782 dn783 dn784 dn785 dn786 dn787 dn788 dn789 dn790 dn791 dn792 dn793 dn794 dn795 dn796 dn797 dn798 dn799 dn800 dn801 dn802 dn803 dn804 dn805 dn806 dn807 dn808 dn809 dn810 dn811 dn812 dn813 dn814 dn815 dn816 dn817 dn818 dn819 dn820 dn821 dn822 dn823 dn824 dn825 dn826 dn827 dn828 dn829 dn830 dn831 dn832 dn833 dn834 dn835 dn836 dn837 dn838 dn839 dn840 dn841 dn842 dn843 dn844 dn845 dn846 dn847 dn848 dn849 dn850 dn851 dn852 dn853 dn854 dn855 dn856 dn857 dn858 dn859 dn860 dn861 dn862 dn863 dn864 dn865 dn866 dn867 dn868 dn869 dn870 dn871 dn872 dn873 dn874 dn875 dn876 dn877 dn878 dn879 dn880 dn881 dn882 dn883 dn884 dn885 dn886 dn887 dn888 dn889 dn890 dn891 dn892 dn893 dn894 dn895 dn896,False,Warning: we failed to resolve data source name {data_source_names},Warning: we failed to resolve data source name <*>,True,Warning: we failed to resolve data source name <*>
1453,Warning: we failed to resolve data source name dn910 dn911 dn912 dn913 dn914 dn915 dn916 dn917 dn918 dn919 dn920 dn921 dn922 dn923 dn924 dn925 dn926 dn927 dn928 dn929 dn930 dn931 dn932 dn933 dn934 dn935 dn936 dn937 dn938 dn939 dn940 dn941 dn942 dn943 dn944 dn945 dn946 dn947 dn948 dn949 dn950 dn951 dn952 dn953 dn954 dn955 dn956 dn957 dn958 dn959 dn960 dn961 dn962 dn963 dn964 dn965 dn966 dn967 dn968 dn969 dn970 dn971 dn972 dn973 dn974 dn975 dn976 dn977 dn978 dn979 dn980 dn981 dn982 dn983 dn984 dn985 dn986 dn987 dn988 dn989 dn990 dn991 dn992 dn993 dn994 dn995 dn996 dn997 dn998 dn999 dn1000 dn1001 dn1002 dn1003 dn1004 dn1005 dn1006 dn1007 dn1008 dn1009 dn1010 dn1011 dn1012 dn1013 dn1014 dn1015 dn1016 dn1017 dn1018 dn1019 dn1020 dn1021 dn1022 dn1023 dn1024,False,Warning: we failed to resolve data source name {data_source_names},Warning: we failed to resolve data source name <*>,True,Warning: we failed to resolve data source name <*>
1454,Warning: we failed to resolve trusted host name dadmin3 dadmin4,False,Warning: we failed to resolve trusted host name {trusted_host_names},Warning: we failed to resolve trusted host name <*>,True,Warning: we failed to resolve trusted host name <*>
1455,gmetad startup succeeded,False,gmetad startup succeeded,gmetad startup succeeded,True,gmetad startup succeeded
1456,Now running on #29#'s privileges.,False,Now running on {user_id}'s privileges.,Now running on <*>'s privileges.,True,Now running on <*>'s privileges.
1457,"User #29#, coming from #30#, authenticated.",False,"User {user_id}, coming from {source_info}, authenticated.","User <*>, coming from <*>, authenticated.",True,"User <*>, coming from <*>, authenticated."
1458,"synchronized to 10.100.10.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1459,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1460,data_thread() got not answer from any [Thunderbird_C2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1461,data_thread() got not answer from any [Thunderbird_D8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1462,Registered protocol family 10,False,Registered protocol family {protocol_family},Registered protocol family <*>,True,Registered protocol family <*>
1463,not allocating divert_blk for non-ethernet device sit0,False,not allocating divert_blk for non-ethernet device {interface},not allocating divert_blk for non-ethernet device <*>,True,not allocating divert_blk for non-ethernet device <*>
1464,succeeded,False,succeeded,succeeded,True,succeeded
1465,Server listening on :: port 22.,False,Server listening on {address} port {port}.,Server listening on :: port <*>.,True,Server listening on <*> port <*>.
1466,error: Bind to port 22 on 0.0.0.0 failed: Address already in use.,False,error: Bind to port {port} on {address} failed: {error_message}.,error: Bind to port <*> on <*> failed: Address already in use.,True,error: Bind to port <*> on <*> failed: <*>.
1467,data_thread() got not answer from any [Thunderbird_C5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1468,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1469,data_thread() got not answer from any [Thunderbird_B8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1470,Cannot open file /dev/logsurfer for writing (No such file or directory),False,Cannot open file {file_path} for writing ({error_message}),Cannot open file <*> for writing (No such file or directory),True,Cannot open file <*> for writing (<*>)
1471,Changing permissions on special file /dev/logsurfer,False,Changing permissions on special file {file_path},Changing permissions on special file <*>,True,Changing permissions on special file <*>
1472,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1473,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1474,data_thread() got not answer from any [Thunderbird_B1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1475,data_thread() got not answer from any [Thunderbird_D5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1476,data_thread() got not answer from any [Thunderbird_D7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1477,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
1478,"synchronized to 10.100.30.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1479,data_thread() got not answer from any [Thunderbird_A4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1480,data_thread() got not answer from any [Thunderbird_A5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1481,data_thread() got not answer from any [Thunderbird_B3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1482,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1483,data_thread() got not answer from any [Thunderbird_A1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1484,succeeded,False,succeeded,succeeded,True,succeeded
1485,xinetd startup succeeded,False,xinetd startup succeeded,xinetd startup succeeded,True,xinetd startup succeeded
1486,Reading included configuration file: /etc/xinetd.d/chargen [file=/etc/xinetd.conf] [line=15],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1487,Reading included configuration file: /etc/xinetd.d/chargen-udp [file=/etc/xinetd.d/chargen-udp] [line=18],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1488,Reading included configuration file: /etc/xinetd.d/cups-lpd [file=/etc/xinetd.d/cups-lpd] [line=17],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1489,Reading included configuration file: /etc/xinetd.d/daytime [file=/etc/xinetd.d/daytime] [line=11],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1490,Reading included configuration file: /etc/xinetd.d/daytime-udp [file=/etc/xinetd.d/daytime-udp] [line=15],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1491,Reading included configuration file: /etc/xinetd.d/echo [file=/etc/xinetd.d/echo] [line=15],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1492,Reading included configuration file: /etc/xinetd.d/echo-udp [file=/etc/xinetd.d/echo-udp] [line=14],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1493,Reading included configuration file: /etc/xinetd.d/eklogin [file=/etc/xinetd.d/eklogin] [line=15],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1494,Reading included configuration file: /etc/xinetd.d/gssftp [file=/etc/xinetd.d/gssftp] [line=13],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1495,Reading included configuration file: /etc/xinetd.d/klogin [file=/etc/xinetd.d/klogin] [line=14],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1496,Reading included configuration file: /etc/xinetd.d/krb5-telnet [file=/etc/xinetd.d/krb5-telnet] [line=13],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1497,Reading included configuration file: /etc/xinetd.d/kshell [file=/etc/xinetd.d/kshell] [line=13],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1498,Reading included configuration file: /etc/xinetd.d/ktalk [file=/etc/xinetd.d/ktalk] [line=13],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1499,Reading included configuration file: /etc/xinetd.d/rsync [file=/etc/xinetd.d/rsync] [line=12],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1500,Reading included configuration file: /etc/xinetd.d/tftp [file=/etc/xinetd.d/tftp] [line=13],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1501,Reading included configuration file: /etc/xinetd.d/time [file=/etc/xinetd.d/time] [line=18],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1502,Reading included configuration file: /etc/xinetd.d/time-udp [file=/etc/xinetd.d/time-udp] [line=17],False,Reading included configuration file: {file} [file={config_file}] [line={line}],Reading included configuration file: <*> [file=<*>] [line=<*>],True,Reading included configuration file: <*> [file=<*>] [line=<*>]
1503,Started working: 1 available service,False,Started working: {number} available service,Started working: <*> available service,True,Started working: <*> available service
1504,removing chargen,False,removing {service},removing <*>,True,removing <*>
1505,removing chargen,False,removing {service},removing <*>,True,removing <*>
1506,removing daytime,False,removing {service},removing <*>,True,removing <*>
1507,removing daytime,False,removing {service},removing <*>,True,removing <*>
1508,removing echo,False,removing {service},removing <*>,True,removing <*>
1509,removing echo,False,removing {service},removing <*>,True,removing <*>
1510,removing eklogin,False,removing {service},removing <*>,True,removing <*>
1511,removing ftp,False,removing {service},removing <*>,True,removing <*>
1512,removing klogin,False,removing {service},removing <*>,True,removing <*>
1513,removing kshell,False,removing {service},removing <*>,True,removing <*>
1514,removing ntalk,False,removing {service},removing <*>,True,removing <*>
1515,removing printer,False,removing {service},removing <*>,True,removing <*>
1516,removing rsync,False,removing {service},removing <*>,True,removing <*>
1517,removing telnet,False,removing {service},removing <*>,True,removing <*>
1518,removing time,False,removing {service},removing <*>,True,removing <*>
1519,removing time,False,removing {service},removing <*>,True,removing <*>
1520,xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,False,xinetd Version {version} started with {options} compiled in.,xinetd Version <*> started with libwrap loadavg options compiled in.,True,xinetd Version <*> started with <*> compiled in.
1521,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1522,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
1523,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
1524,data_thread() got not answer from any [Thunderbird_B6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1525,data_thread() got not answer from any [Thunderbird_A8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1526,data_thread() got not answer from any [Thunderbird_A3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1527,data_thread() got not answer from any [Thunderbird_C8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1528,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1529,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1530,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
1531,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1532,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1533,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time 1131563473 when last update time is 1131563473 (minimum one second step),False,RRD_update ({file_path}): illegal attempt to update using time {update_time} when last update time is {last_update_time} (minimum one second step),RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),True,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
1534,data_thread() got not answer from any [Thunderbird_C1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1535,data_thread() got not answer from any [Thunderbird_A6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1536,data_thread() got not answer from any [Thunderbird_C4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1537,data_thread() got not answer from any [Thunderbird_B4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1538,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
1539,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
1540,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1541,"synchronized to 10.100.26.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1542,data_thread() got not answer from any [Thunderbird_A7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1543,data_thread() got not answer from any [Thunderbird_B7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1544,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1545,data_thread() got not answer from any [Thunderbird_D6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1546,data_thread() got not answer from any [Thunderbird_B2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1547,data_thread() got not answer from any [Thunderbird_B5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1548,data_thread() got not answer from any [Thunderbird_D4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1549,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1550,data_thread() got not answer from any [Thunderbird_B8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1551,data_thread() got not answer from any [Thunderbird_D7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1552,data_thread() got not answer from any [Thunderbird_D8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1553,"synchronized to 10.100.10.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1554,"synchronized to 10.100.8.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1555,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1556,data_thread() got not answer from any [Thunderbird_C6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1557,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1558,data_thread() got not answer from any [Thunderbird_A2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1559,data_thread() got not answer from any [Thunderbird_A4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1560,data_thread() got not answer from any [Thunderbird_C5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1561,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
1562,data_thread() got not answer from any [Thunderbird_A5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1563,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
1564,data_thread() got not answer from any [Thunderbird_C2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1565,data_thread() got not answer from any [Thunderbird_B1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1566,data_thread() got not answer from any [Thunderbird_B3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
1567,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
1568,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
1569,session closed for user root,False,session closed for user {username},session closed for user <*>,True,session closed for user <*>
1570,"jA9JBVPb007417: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091911.jA9JBVPb007417@eadmin1>, relay=#7#@localhost",False,"jA9JBVPb007417: from={from_user}, size={size}, class={class_number}, nrcpts={number_of_recipients}, msgid=<{message_id}>, relay={relay_info}","<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>@localhost",True,"jA9JBVPb007417: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<<*>>, relay=<*>"
1571,"jA9JBVPb007417: to=root, ctladdr=root (0/0), delay=00:00:00, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",False,"jA9JBVPb007417: to={to_user}, ctladdr={ctladdr_user} ({ctladdr_value}), delay={delay_time}, xdelay={xdelay_time}, mailer={mailer_type}, pri={priority_number}, relay=[{relay_ip}] [{relay_ip}], dsn={dsn_code}, stat={status_message}","<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",True,"jA9JBVPb007417: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>"
1572,unable to qualify my own domain name (eadmin1) -- using short name,False,unable to qualify my own domain name ({domain_name}) -- using short name,unable to qualify my own domain name (<*>) -- using short name,True,unable to qualify my own domain name (<*>) -- using short name
